229	127	114	130	108	135	250	204	61	106	135	38	168	232	220	227
176	102	208	34	57	93	24	153	186	7	166	165	80	160	216	56
32	89	196	177	245	85	106	95	20	216	169	25	7	116	171	187
15	217	169	246	96	170	62	181	210	96	48	16	62	171	92	12
160	101	177	39	73	236	227	95	32	17	202	192	83	218	14	172
241	224	21	214	70	114	219	186	119	63	38	250	192	85	173	115
199	12	67	107	98	70	12	177	211	146	64	21	204	27	35	122
63	240	19	9	77	26	234	170	225	114	148	93	60	74	129	16
127	210	113	4	11	180	179	246	173	248	77	138	127	16	182	37
231	157	18	80	36	99	18	196	213	98	115	169	227	148	58	191
64	216	31	241	87	104	214	140	56	123	31	144	67	112	191	104
105	148	106	108	70	108	36	131	163	148	39	77	180	152	101	28
13	91	155	178	40	109	31	10	9	237	80	148	187	207	226	59
77	160	97	24	121	47	159	157	40	43	127	51	248	23	60	250
244	50	161	63	43	171	96	69	194	191	230	253	216	156	238	82
168	40	40	11	209	2	174	6	75	226	184	65	70	45	36	237
20	210	88	13	88	103	27	78	20	251	212	176	214	34	223	156
156	173	91	247	45	150	40	234	129	149	122	89	126	211	175	194
144	204	82	13	116	64	124	114	55	202	247	14	61	135	220	198
214	79	132	14	182	122	15	183	202	184	217	90	79	223	27	3
158	204	16	172	17	50	92	57	114	238	154	113	95	206	185	55
144	199	25	121	101	152	145	146	52	221	213	30	51	3	81	244
125	28	123	212	138	21	191	232	24	72	115	51	221	88	118	146
143	237	121	96	251	181	138	94	213	178	91	250	111	73	103	26
120	157	235	107	10	157	87	1	134	82	163	167	36	221	189	184
36	52	114	102	9	244	0	58	211	0	193	194	149	28	158	175
230	83	164	208	4	218	0	190	167	36	185	158	106	246	104	68
172	40	62	170	104	83	37	0	94	43	205	196	132	64	228	175
44	216	84	226	57	57	65	27	242	241	175	101	179	150	248	14
146	117	129	72	191	171	88	71	50	182	175	201	228	214	211	80
55	230	150	122	55	128	208	201	105	138	235	67	208	139	159	169
201	97	204	87	2	51	36	98	23	63	130	25	173	220	176	130
131	209	114	236	86	212	142	188	154	89	64	124	93	1	183	102
85	79	157	233	238	124	63	96	98	126	79	116	159	43	237	116
25	138	218	139	59	54	135	32	159	102	106	81	192	125	200	207
193	61	93	143	144	244	140	139	115	201	10	26	73	246	40	143
138	156	47	35	87	128	116	220	32	84	21	126	47	100	134	46
40	70	224	211	62	230	153	106	55	19	146	196	132	208	41	249
119	49	185	253	230	235	57	23	77	227	86	187	168	116	80	5
46	32	232	189	26	120	34	64	38	230	180	169	246	38	230	149
11	13	178	223	115	12	230	175	102	111	48	61	120	200	50	20
133	29	162	80	147	43	12	139	195	239	41	251	146	63	3	254
252	16	60	11	208	208	185	68	53	110	144	179	55	216	227	87
234	172	167	11	229	93	106	7	33	114	20	105	21	66	202	17
144	54	229	60	33	134	27	172	16	244	81	202	199	118	72	133
40	216	252	105	23	200	123	41	90	208	132	156	8	174	183	224
21	153	170	172	207	212	158	125	89	50	57	43	218	81	238	147
146	199	19	225	249	3	42	37	151	8	247	186	193	226	111	192
101	236	241	18	23	64	6	8	0	241	121	120	235	116	148	48
11	60	199	231	46	254	140	233	141	177	85	103	227	150	195	189
105	129	14	29	250	40	188	216	125	27	49	83	194	198	159	199
254	148	227	107	157	10	229	33	124	131	113	64	220	223	178	161
20	68	190	123	76	200	219	184	216	49	233	88	115	11	36	2
104	75	28	214	0	78	36	50	176	78	12	222	101	174	228	242
101	188	47	213	40	58	167	44	36	84	153	31	93	223	97	66
76	118	18	145	215	209	98	64	130	0	209	90	4	208	176	114
231	16	245	209	119	239	145	243	125	63	162	187	45	65	195	168
187	73	210	254	243	245	230	41	86	34	217	196	138	238	23	30
51	253	150	144	238	186	181	140	143	201	83	63	217	133	225	16
211	18	214	253	238	121	36	135	28	90	41	44	150	14	70	175
234	227	0	174	15	197	92	47	144	103	228	53	40	95	0	145
190	59	132	233	175	245	57	51	208	105	47	154	18	15	23	157
62	185	141	198	165	25	122	80	194	167	126	165	166	94	141	127
177	202	43	154	105	225	112	62	124	45	72	150	51	174	16	24
